Taken by Alex and Dennis 2/20/15

AccelX, AccelY, AccelZ, Roll, Pitch, Heading
-0.235, -3.060, -8.355, -20.105, -178.485, 0.000
0.196, -2.432, -8.434, -16.082, 178.720, 0.000
0.314, -2.667, -8.630, -17.165, 178.010, 0.000
0.431, -2.903, -8.787, -18.261, 177.330, 0.000
0.078, -2.354, -8.630, -15.255, 179.498, 0.000
0.078, -2.550, -8.983, -15.846, 179.519, 0.000
0.588, -2.628, -9.728, -15.092, 176.658, 0.000
0.196, -2.707, -8.983, -16.764, 178.802, 0.000
0.157, -2.471, -8.826, -15.640, 179.019, 0.000
0.078, -2.314, -8.708, -14.883, 179.501, 0.000
-0.196, -2.157, -8.512, -14.219, -178.721, 0.000
-0.078, -1.883, -8.473, -12.528, -179.482, 0.000
0.235, -2.354, -8.787, -14.990, 178.518, 0.000
0.118, -2.628, -9.140, -16.042, 179.291, 0.000
0.000, -2.314, -8.591, -15.078, 180.000, 0.000
0.000, -2.197, -8.865, -13.917, 180.000, 0.000
0.196, -2.354, -8.904, -14.802, 178.780, 0.000
-0.235, -2.275, -8.904, -14.328, -178.533, 0.000
-0.235, -2.079, -8.748, -13.365, -178.501, 0.000
-0.118, -2.314, -8.983, -14.446, -179.273, 0.000
-0.275, -2.432, -9.179, -14.834, -178.344, 0.000
-0.314, -2.197, -9.061, -13.619, -178.072, 0.000
-0.471, -2.393, -8.904, -15.021, -177.077, 0.000
-0.588, -1.961, -9.297, -11.890, -176.456, 0.000
-0.785, -1.648, -8.473, -10.958, -174.807, 0.000
-0.510, -1.451, -9.493, -8.680, -176.960, 0.000
-0.588, -1.334, -8.748, -8.650, -176.196, 0.000
-0.392, -1.530, -8.865, -9.782, -177.503, 0.000
-0.039, -1.334, -9.061, -8.373, -179.755, 0.000
-0.706, -0.941, -9.179, -5.839, -175.624, 0.000
-0.471, -2.197, -9.218, -13.387, -177.156, 0.000
-0.863, -1.373, -8.591, -9.035, -174.335, 0.000
-0.431, -1.569, -9.375, -9.491, -177.401, 0.000
-0.275, -1.138, -8.944, -7.245, -178.256, 0.000
-0.628, -1.059, -9.650, -6.250, -176.301, 0.000
-0.941, -0.941, -9.493, -5.636, -174.364, 0.000
-0.706, -0.941, -8.708, -6.150, -175.391, 0.000
-0.628, -0.824, -8.865, -5.296, -175.968, 0.000
-0.706, -1.059, -9.375, -6.427, -175.720, 0.000
-0.667, -1.059, -9.140, -6.593, -175.855, 0.000
-0.549, -1.098, -8.865, -7.049, -176.482, 0.000
-1.020, -1.098, -8.904, -6.987, -173.515, 0.000
-1.098, -1.177, -9.061, -7.346, -173.146, 0.000
-1.255, -1.020, -9.101, -6.335, -172.195, 0.000
-1.373, -1.138, -9.336, -6.874, -171.695, 0.000
-1.373, -1.255, -8.944, -7.898, -171.356, 0.000
-1.373, -1.216, -9.101, -7.527, -171.495, 0.000
-3.373, 2.354, -3.883, 24.586, -143.391, 0.000
-2.667, -1.883, -8.394, -12.066, -162.774, 0.000
0.235, -3.373, -9.218, -20.094, 178.626, 0.000
-1.294, -3.570, -8.512, -22.518, -172.017, 0.000
0.000, -0.118, -8.591, -0.785, 180.000, 0.000
-1.687, 0.785, -10.003, 4.422, -170.457, 0.000
-0.667, 1.294, -7.845, 9.336, -175.206, 0.000
4.158, -0.981, -8.904, -5.699, 155.101, 0.000
0.824, -0.157, -12.160, -0.738, 176.125, 0.000
0.510, 1.098, -8.669, 7.208, 176.660, 0.000
-0.039, 1.294, -8.826, 8.344, -179.748, 0.000
0.824, 1.138, -8.159, 7.898, 174.290, 0.000
-1.687, 2.275, -5.139, 22.815, -163.293, 0.000
1.059, 1.569, -7.963, 11.052, 172.565, 0.000
1.883, 1.138, -8.983, 7.065, 168.253, 0.000
2.040, 1.098, -8.865, 6.885, 167.137, 0.000
2.079, 1.177, -8.944, 7.303, 167.022, 0.000
2.118, 1.059, -8.826, 6.656, 166.597, 0.000
2.157, 1.177, -8.944, 7.289, 166.549, 0.000
2.001, 1.138, -8.865, 7.135, 167.384, 0.000
2.040, 1.177, -8.865, 7.371, 167.151, 0.000
2.040, 1.138, -8.865, 7.128, 167.144, 0.000
2.040, 1.138, -8.944, 7.069, 167.252, 0.000
2.079, 1.138, -8.865, 7.121, 166.906, 0.000
2.001, 1.059, -8.865, 6.647, 167.370, 0.000
2.079, 1.177, -8.904, 7.334, 166.967, 0.000
2.001, 1.138, -8.865, 7.135, 167.384, 0.000
2.040, 1.138, -8.865, 7.128, 167.144, 0.000
2.040, 1.098, -8.904, 6.856, 167.191, 0.000
2.001, 1.138, -8.904, 7.105, 167.436, 0.000
2.001, 1.138, -8.904, 7.105, 167.436, 0.000
2.079, 1.138, -8.944, 7.062, 167.015, 0.000
2.040, 1.177, -9.022, 7.250, 167.364, 0.000
